Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Pure Rain — Cold-Air Fragrance Oil,oil-pure-rain,"<p><strong>Pure Rain</strong> — Ozone, petrichor, green leaves. Crisp after-rain fragrance oil — ozone and green leaves. Fresh cold-air diffuser scent for car & home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-fresh",TRUE,Active,AV-OIL-PURE-RAIN-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Pure Rain | Cold-Air Fragrance Oil for Car & Home | Autivora,Crisp after-rain fragrance oil — ozone and green leaves. Fresh cold-air diffuser scent for car & home.,,,,,,,,,,,,,,
,oil-pure-rain,,,,,,,,AV-OIL-PURE-RAIN-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Citrus Bloom — Cold-Air Fragrance Oil,oil-citrus-bloom,"<p><strong>Citrus Bloom</strong> — Bergamot, neroli, grapefruit. Bright bergamot and neroli citrus fragrance oil for waterless cold-air diffusion. Perfect for the car. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-citrus",TRUE,Active,AV-OIL-CITRUS-BLOOM-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Citrus Bloom | Cold-Air Fragrance Oil for Car & Home | Autivora,Bright bergamot and neroli citrus fragrance oil for waterless cold-air diffusion. Perfect for the car.,,,,,,,,,,,,,,
,oil-citrus-bloom,,,,,,,,AV-OIL-CITRUS-BLOOM-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Amalfi Sun — Cold-Air Fragrance Oil,oil-amalfi-sun,"<p><strong>Amalfi Sun</strong> — Lemon, mandarin, sea breeze. Sun-drenched lemon and mandarin fragrance oil with sea breeze. Bright cold-air scent for car & hotel. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-citrus",TRUE,Active,AV-OIL-AMALFI-SUN-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Amalfi Sun | Cold-Air Fragrance Oil for Car & Home | Autivora,Sun-drenched lemon and mandarin fragrance oil with sea breeze. Bright cold-air scent for car & hotel.,,,,,,,,,,,,,,
,oil-amalfi-sun,,,,,,,,AV-OIL-AMALFI-SUN-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Yuzu Verbena — Cold-Air Fragrance Oil,oil-yuzu-verbena,"<p><strong>Yuzu Verbena</strong> — Yuzu, verbena, mint. Zesty yuzu and verbena fragrance oil with cool mint. Energizing waterless cold-air diffuser scent. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-citrus",TRUE,Active,AV-OIL-YUZU-VERBENA-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Yuzu Verbena | Cold-Air Fragrance Oil for Car & Home | Autivora,Zesty yuzu and verbena fragrance oil with cool mint. Energizing waterless cold-air diffuser scent.,,,,,,,,,,,,,,
,oil-yuzu-verbena,,,,,,,,AV-OIL-YUZU-VERBENA-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Noir Oud — Cold-Air Fragrance Oil,oil-noir-oud,"<p><strong>Noir Oud</strong> — Oud, amber, leather. Deep, luxurious oud with amber and leather. Premium cold-air fragrance oil for car, home & hotel. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-woody",TRUE,Active,AV-OIL-NOIR-OUD-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Noir Oud | Cold-Air Fragrance Oil for Car & Home | Autivora,"Deep, luxurious oud with amber and leather. Premium cold-air fragrance oil for car, home & hotel.",,,,,,,,,,,,,,
,oil-noir-oud,,,,,,,,AV-OIL-NOIR-OUD-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Cedar & Sage — Cold-Air Fragrance Oil,oil-cedar-sage,"<p><strong>Cedar & Sage</strong> — Cedarwood, sage, vetiver. Grounded cedarwood and sage fragrance oil. Spa-like, waterless cold-air scent for any space. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-woody",TRUE,Active,AV-OIL-CEDAR-SAGE-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Cedar & Sage | Cold-Air Fragrance Oil for Car & Home | Autivora,"Grounded cedarwood and sage fragrance oil. Spa-like, waterless cold-air scent for any space.",,,,,,,,,,,,,,
,oil-cedar-sage,,,,,,,,AV-OIL-CEDAR-SAGE-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Smoked Vetiver — Cold-Air Fragrance Oil,oil-smoked-vetiver,"<p><strong>Smoked Vetiver</strong> — Vetiver, smoke, black pepper. Smoky vetiver and black pepper fragrance oil. Bold, masculine cold-air diffuser scent for car & commercial. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-woody",TRUE,Active,AV-OIL-SMOKED-VETIVER-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Smoked Vetiver | Cold-Air Fragrance Oil for Car & Home | Autivora,"Smoky vetiver and black pepper fragrance oil. Bold, masculine cold-air diffuser scent for car & commercial.",,,,,,,,,,,,,,
,oil-smoked-vetiver,,,,,,,,AV-OIL-SMOKED-VETIVER-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Santal Royale — Cold-Air Fragrance Oil,oil-santal-royale,"<p><strong>Santal Royale</strong> — Sandalwood, cardamom, musk. Creamy sandalwood and cardamom fragrance oil. Refined, expensive-smelling cold-air scent for home & hotel. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-woody",TRUE,Active,AV-OIL-SANTAL-ROYALE-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Santal Royale | Cold-Air Fragrance Oil for Car & Home | Autivora,"Creamy sandalwood and cardamom fragrance oil. Refined, expensive-smelling cold-air scent for home & hotel.",,,,,,,,,,,,,,
,oil-santal-royale,,,,,,,,AV-OIL-SANTAL-ROYALE-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Amber Vanilla — Cold-Air Fragrance Oil,oil-amber-vanilla,"<p><strong>Amber Vanilla</strong> — Vanilla, amber, tonka. Warm vanilla, amber and tonka fragrance oil. Cozy signature cold-air diffuser scent for car & home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-warm",TRUE,Active,AV-OIL-AMBER-VANILLA-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Amber Vanilla | Cold-Air Fragrance Oil for Car & Home | Autivora,"Warm vanilla, amber and tonka fragrance oil. Cozy signature cold-air diffuser scent for car & home.",,,,,,,,,,,,,,
,oil-amber-vanilla,,,,,,,,AV-OIL-AMBER-VANILLA-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Tobacco Caramel — Cold-Air Fragrance Oil,oil-tobacco-caramel,"<p><strong>Tobacco Caramel</strong> — Tobacco leaf, caramel, vanilla. Rich tobacco leaf and caramel fragrance oil. Warm, gourmand cold-air scent for car & home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-warm",TRUE,Active,AV-OIL-TOBACCO-CARAMEL-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Tobacco Caramel | Cold-Air Fragrance Oil for Car & Home | Autivora,"Rich tobacco leaf and caramel fragrance oil. Warm, gourmand cold-air scent for car & home.",,,,,,,,,,,,,,
,oil-tobacco-caramel,,,,,,,,AV-OIL-TOBACCO-CARAMEL-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Cashmere Musk — Cold-Air Fragrance Oil,oil-cashmere-musk,"<p><strong>Cashmere Musk</strong> — Warm musk, sandalwood, vanilla. Soft cashmere musk and sandalwood fragrance oil. Cozy, skin-warm cold-air diffuser scent for home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-warm",TRUE,Active,AV-OIL-CASHMERE-MUSK-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Cashmere Musk | Cold-Air Fragrance Oil for Car & Home | Autivora,"Soft cashmere musk and sandalwood fragrance oil. Cozy, skin-warm cold-air diffuser scent for home.",,,,,,,,,,,,,,
,oil-cashmere-musk,,,,,,,,AV-OIL-CASHMERE-MUSK-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Velvet Rose — Cold-Air Fragrance Oil,oil-velvet-rose,"<p><strong>Velvet Rose</strong> — Rose, peony, sandalwood. Elegant rose, peony and sandalwood fragrance oil. Signature floral cold-air diffuser scent for home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-floral",TRUE,Active,AV-OIL-VELVET-ROSE-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Velvet Rose | Cold-Air Fragrance Oil for Car & Home | Autivora,"Elegant rose, peony and sandalwood fragrance oil. Signature floral cold-air diffuser scent for home.",,,,,,,,,,,,,,
,oil-velvet-rose,,,,,,,,AV-OIL-VELVET-ROSE-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Jasmine Noir — Cold-Air Fragrance Oil,oil-jasmine-noir,"<p><strong>Jasmine Noir</strong> — Jasmine, tuberose, amber. Opulent jasmine and tuberose fragrance oil with amber. Sultry cold-air scent for home & hotel. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-floral",TRUE,Active,AV-OIL-JASMINE-NOIR-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Jasmine Noir | Cold-Air Fragrance Oil for Car & Home | Autivora,Opulent jasmine and tuberose fragrance oil with amber. Sultry cold-air scent for home & hotel.,,,,,,,,,,,,,,
,oil-jasmine-noir,,,,,,,,AV-OIL-JASMINE-NOIR-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Peony Petal — Cold-Air Fragrance Oil,oil-peony-petal,"<p><strong>Peony Petal</strong> — Peony, lychee, soft musk. Fresh peony and lychee fragrance oil with soft musk. Pretty, modern floral cold-air diffuser scent. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-floral",TRUE,Active,AV-OIL-PEONY-PETAL-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Peony Petal | Cold-Air Fragrance Oil for Car & Home | Autivora,"Fresh peony and lychee fragrance oil with soft musk. Pretty, modern floral cold-air diffuser scent.",,,,,,,,,,,,,,
,oil-peony-petal,,,,,,,,AV-OIL-PEONY-PETAL-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Eucalyptus Mint — Cold-Air Fragrance Oil,oil-eucalyptus-mint,"<p><strong>Eucalyptus Mint</strong> — Eucalyptus, mint, spearmint. Cooling eucalyptus and mint fragrance oil. Spa-fresh cold-air scent for gyms, hotels & home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-spa",TRUE,Active,AV-OIL-EUCALYPTUS-MINT-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Eucalyptus Mint | Cold-Air Fragrance Oil for Car & Home | Autivora,"Cooling eucalyptus and mint fragrance oil. Spa-fresh cold-air scent for gyms, hotels & home.",,,,,,,,,,,,,,
,oil-eucalyptus-mint,,,,,,,,AV-OIL-EUCALYPTUS-MINT-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Lavender Haze — Cold-Air Fragrance Oil,oil-lavender-haze,"<p><strong>Lavender Haze</strong> — Lavender, chamomile, vanilla. Calming lavender and chamomile fragrance oil with soft vanilla. Relaxing cold-air diffuser scent for home. Water-free, engineered for Autivora cold-air diffusers.</p>",Autivora,,Fragrance Oil,"fragrance-oil, refill, fragrance-oils, scent-spa",TRUE,Active,AV-OIL-LAVENDER-HAZE-10,,Size,10ml (Car),,,,,,,,19.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,FALSE,Lavender Haze | Cold-Air Fragrance Oil for Car & Home | Autivora,Calming lavender and chamomile fragrance oil with soft vanilla. Relaxing cold-air diffuser scent for home.,,,,,,,,,,,,,,
,oil-lavender-haze,,,,,,,,AV-OIL-LAVENDER-HAZE-200,,,200ml (Home / Pro),,,,,,,,39.00,,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
